                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93205,                 1.2221,                 1.0654,                0.95903,                0.93156,                0.97738,                0.73626,                0.85915,                0.58654,                 1.0635,             0.00066543,             0.00066543,             0.00066543
                      2,                0.92872,                0.64914,                 1.0849,                0.91923,                0.93783,                0.97875,                0.81001,                0.72211,                0.53499,                0.99408,              0.0013057,              0.0013057,              0.0013057
                      3,                0.90238,                0.57537,                 1.0832,                0.92213,                0.94693,                0.98163,                 0.8307,                  0.667,                0.47026,                0.98659,              0.0019196,              0.0019196,              0.0019196
                      4,                0.87165,                0.53607,                 1.0735,                0.94924,                 0.9595,                0.98995,                0.82822,                0.68404,                0.43761,                0.97579,              0.0018812,              0.0018812,              0.0018812
                      5,                0.85016,                0.50617,                 1.0595,                0.96758,                0.95881,                0.99064,                0.85327,                0.60424,                 0.3675,                0.93765,              0.0018416,              0.0018416,              0.0018416
                      6,                0.82373,                0.48294,                 1.0468,                0.99567,                0.96391,                0.99322,                 0.8631,                0.59291,                0.35291,                0.93088,               0.001802,               0.001802,               0.001802
                      7,                0.79913,                  0.464,                 1.0352,                0.97209,                0.94832,                0.98877,                0.84797,                0.63107,                0.38672,                0.95541,              0.0017624,              0.0017624,              0.0017624
                      8,                0.77305,                0.44632,                 1.0252,                0.98582,                0.97127,                 0.9938,                0.86729,                0.58592,                0.33379,                0.92544,              0.0017228,              0.0017228,              0.0017228
                      9,                0.75968,                0.43295,                 1.0185,                0.97807,                0.98324,                0.99299,                0.87157,                0.55483,                0.37074,                0.91578,              0.0016832,              0.0016832,              0.0016832
                     10,                0.75296,                0.42585,                 1.0169,                0.97609,                0.98883,                0.99332,                0.87024,                0.58584,                0.33261,                 0.9182,              0.0016436,              0.0016436,              0.0016436
                     11,                0.73533,                0.41348,                 1.0068,                0.98864,                0.97211,                0.99362,                0.87328,                0.54001,                0.30817,                0.91939,               0.001604,               0.001604,               0.001604
                     12,                0.72929,                0.40649,                 1.0039,                0.98614,                0.99342,                0.99379,                0.88846,                0.53439,                0.29976,                0.89468,              0.0015644,              0.0015644,              0.0015644
                     13,                0.71578,                0.39959,                0.99644,                0.98393,                0.99302,                0.99414,                0.89367,                0.50849,                 0.2864,                0.88831,              0.0015248,              0.0015248,              0.0015248
                     14,                0.71081,                0.38821,                0.99578,                0.99297,                0.99022,                0.99479,                0.89607,                0.49896,                0.27935,                0.88953,              0.0014852,              0.0014852,              0.0014852
                     15,                0.69508,                0.38324,                0.98516,                0.98476,                0.99249,                0.99451,                0.89795,                0.49971,                0.27912,                0.88253,              0.0014456,              0.0014456,              0.0014456
                     16,                0.68712,                0.38133,                0.98716,                0.99006,                0.99441,                0.99455,                0.89624,                0.50432,                 0.2753,                  0.892,               0.001406,               0.001406,               0.001406
                     17,                 0.6823,                0.37213,                0.98054,                0.99859,                0.98813,                0.99499,                0.88059,                0.56264,                0.29156,                0.89835,              0.0013664,              0.0013664,              0.0013664
                     18,                0.68431,                0.37075,                0.98175,                 0.9962,                0.96788,                0.99391,                0.89562,                0.49495,                 0.2823,                0.87945,              0.0013268,              0.0013268,              0.0013268
