                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79339,                0.39441,                 1.0573,                 0.9972,                0.99438,                  0.995,                  0.899,                0.49588,                0.26739,                0.87935,              0.0082675,              0.0082675,              0.0082675
                     37,                0.79154,                0.39311,                 1.0443,                0.98716,                0.99441,                0.99456,                0.90009,                 0.4972,                0.26684,                0.87642,               0.008218,               0.008218,               0.008218
                     38,                0.77959,                0.38963,                 1.0363,                0.99042,                0.99628,                0.99451,                0.89313,                0.49638,                0.25862,                0.88205,              0.0081685,              0.0081685,              0.0081685
                     39,                 0.7787,                0.39035,                 1.0345,                0.99454,                0.99255,                0.99488,                 0.8906,                0.48927,                0.27237,                0.86702,               0.008119,               0.008119,               0.008119
                     40,                0.77883,                0.38462,                  1.038,                0.99621,                0.97899,                0.99462,                0.90848,                0.48001,                 0.2819,                0.87612,              0.0080695,              0.0080695,              0.0080695
                     41,                0.78126,                0.38545,                 1.0391,                0.99072,                0.99426,                0.99438,                0.89161,                0.50004,                0.26201,                0.87901,                0.00802,                0.00802,                0.00802
                     42,                 0.7783,                0.39188,                 1.0396,                 0.9983,                0.99534,                0.99496,                0.90603,                0.47217,                0.25455,                0.86961,              0.0079705,              0.0079705,              0.0079705
                     43,                0.78315,                  0.388,                 1.0319,                 0.9932,                0.99628,                0.99463,                0.89989,                0.49136,                  0.257,                0.87323,               0.007921,               0.007921,               0.007921
                     44,                0.76626,                0.37782,                 1.0376,                0.99516,                0.99628,                0.99497,                  0.894,                 0.4813,                0.25734,                 0.8747,              0.0078715,              0.0078715,              0.0078715
                     45,                0.76828,                0.38128,                 1.0371,                0.99813,                0.99599,                0.99496,                0.90088,                0.47711,                0.24682,                0.86711,               0.007822,               0.007822,               0.007822
                     46,                0.77895,                0.38043,                  1.044,                0.99529,                0.99534,                0.99495,                0.90387,                 0.4783,                0.25299,                 0.8664,              0.0077725,              0.0077725,              0.0077725
                     47,                0.76767,                0.38612,                 1.0379,                0.99581,                0.99628,                0.99449,                0.90278,                0.47197,                0.25684,                0.86442,               0.007723,               0.007723,               0.007723
                     48,                0.75679,                0.37267,                 1.0276,                0.99442,                 0.9953,                0.99438,                 0.9057,                0.45751,                0.25222,                0.86536,              0.0076735,              0.0076735,              0.0076735
