                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60568,                0.28709,                0.96352,                0.99984,                0.99721,                  0.995,                0.92015,                0.43255,                0.20692,                 0.8466,               0.001307,               0.001307,               0.001307
                     37,                0.60903,                0.29058,                0.96527,                0.99709,                 0.9986,                  0.995,                0.92494,                0.43046,                0.20277,                0.84564,              0.0012872,              0.0012872,              0.0012872
                     38,                0.59047,                0.27974,                0.95585,                 0.9997,                0.99721,                  0.995,                0.92123,                0.43108,                0.19844,                0.84331,              0.0012674,              0.0012674,              0.0012674
                     39,                0.59611,                0.28388,                 0.9543,                0.99687,                0.99721,                 0.9949,                0.92479,                0.41889,                0.19846,                0.83912,              0.0012476,              0.0012476,              0.0012476
                     40,                0.59323,                0.27983,                0.95793,                0.99721,                0.99664,                  0.995,                0.92473,                0.42146,                0.20286,                0.84318,              0.0012278,              0.0012278,              0.0012278
                     41,                0.58541,                0.27922,                0.95445,                0.99763,                0.99581,                0.99499,                0.92401,                0.42969,                0.20064,                0.84442,               0.001208,               0.001208,               0.001208
                     42,                0.58382,                0.27941,                0.95248,                 0.9955,                 0.9986,                0.99499,                0.92192,                0.42797,                0.19845,                0.84231,              0.0011882,              0.0011882,              0.0011882
                     43,                0.59087,                0.28108,                0.95767,                0.99982,                 0.9986,                  0.995,                0.91945,                0.43352,                0.20085,                 0.8476,              0.0011684,              0.0011684,              0.0011684
                     44,                0.57857,                0.27558,                  0.953,                0.99922,                 0.9986,                  0.995,                0.92644,                0.41977,                0.19244,                 0.8382,              0.0011486,              0.0011486,              0.0011486
                     45,                0.57305,                0.27339,                0.94806,                0.99576,                 0.9986,                0.99492,                0.91831,                0.42897,                0.19825,                0.84159,              0.0011288,              0.0011288,              0.0011288
                     46,                0.57379,                0.27644,                0.95127,                0.99701,                 0.9986,                 0.9949,                0.91533,                0.42325,                0.20377,                0.84042,               0.001109,               0.001109,               0.001109
                     47,                0.57793,                0.27991,                0.94968,                0.99979,                 0.9986,                  0.995,                0.91955,                0.42381,                0.20174,                0.84076,              0.0010892,              0.0010892,              0.0010892
                     48,                0.57579,                0.27457,                 0.9496,                0.99642,                0.99721,                0.99493,                0.92185,                0.42105,                0.19733,                0.84079,              0.0010694,              0.0010694,              0.0010694
                     49,                0.56906,                0.27079,                0.94514,                0.99822,                0.99721,                  0.995,                0.92386,                0.41592,                0.19231,                0.83944,              0.0010496,              0.0010496,              0.0010496
                     50,                0.56844,                0.27049,                0.94683,                0.99849,                0.99721,                0.99499,                0.92655,                0.40961,                0.18755,                0.83742,              0.0010298,              0.0010298,              0.0010298
                     51,                0.55962,                0.26557,                0.93865,                0.99853,                0.99721,                  0.995,                0.92782,                0.41404,                0.19121,                0.83781,                0.00101,                0.00101,                0.00101
                     52,                 0.5546,                0.26329,                 0.9394,                0.99942,                0.99721,                  0.995,                0.92289,                 0.4198,                0.18879,                 0.8389,              0.0009902,              0.0009902,              0.0009902
                     53,                0.55736,                0.26433,                0.94055,                 0.9971,                 0.9986,                0.99497,                 0.9246,                0.42374,                 0.1903,                0.84214,              0.0009704,              0.0009704,              0.0009704
                     54,                0.54973,                0.26045,                0.93948,                0.99848,                 0.9986,                  0.995,                0.92894,                0.41225,                0.18927,                0.83749,              0.0009506,              0.0009506,              0.0009506
                     55,                0.54878,                0.26277,                0.93771,                0.99714,                 0.9986,                0.99497,                0.92409,                0.40994,                0.18519,                0.83617,              0.0009308,              0.0009308,              0.0009308
                     56,                0.54745,                0.26082,                0.93715,                0.99688,                0.99721,                0.99496,                0.92613,                0.41219,                0.18415,                0.83604,               0.000911,               0.000911,               0.000911
                     57,                0.54724,                0.26208,                0.93707,                0.99711,                 0.9986,                0.99478,                0.92888,                 0.4119,                0.18859,                0.83737,              0.0008912,              0.0008912,              0.0008912
                     58,                0.54776,                0.26244,                0.93736,                0.99852,                 0.9986,                  0.995,                0.92778,                0.42052,                0.19539,                0.83946,              0.0008714,              0.0008714,              0.0008714
                     59,                0.54667,                0.26113,                0.93993,                      1,                0.99841,                  0.995,                0.92424,                0.42457,                0.18582,                0.84046,              0.0008516,              0.0008516,              0.0008516
                     60,                0.54184,                0.25845,                0.93641,                0.99858,                 0.9986,                0.99492,                0.92894,                0.41231,                0.18234,                0.83601,              0.0008318,              0.0008318,              0.0008318
                     61,                0.53873,                0.25597,                0.93266,                 0.9971,                 0.9986,                 0.9948,                0.93203,                0.40791,                0.18391,                0.83446,               0.000812,               0.000812,               0.000812
                     62,                0.53817,                0.25488,                0.93415,                 0.9986,                0.99857,                0.99497,                0.92501,                  0.416,                0.18472,                0.83988,              0.0007922,              0.0007922,              0.0007922
                     63,                0.52974,                 0.2532,                 0.9283,                0.99712,                 0.9986,                0.99493,                 0.9261,                0.41637,                0.18411,                0.83825,              0.0007724,              0.0007724,              0.0007724
                     64,                0.53494,                0.25462,                0.92931,                0.99709,                 0.9986,                0.99477,                0.92902,                0.41444,                0.18442,                0.83576,              0.0007526,              0.0007526,              0.0007526
                     65,                0.53144,                0.25134,                0.93126,                 0.9986,                0.99853,                0.99496,                0.93149,                0.41032,                0.18351,                0.83603,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.5274,                0.24857,                  0.929,                0.99711,                 0.9986,                0.99474,                0.93045,                 0.4114,                0.17936,                0.83531,               0.000713,               0.000713,               0.000713
                     67,                0.52154,                0.24701,                 0.9263,                0.99715,                 0.9986,                0.99494,                0.93037,                0.40831,                0.18082,                0.83392,              0.0006932,              0.0006932,              0.0006932
                     68,                0.51882,                0.24787,                0.92385,                 0.9986,                0.99792,                  0.995,                0.92834,                0.41785,                0.18098,                0.83929,              0.0006734,              0.0006734,              0.0006734
                     69,                0.51947,                 0.2459,                0.92731,                0.99696,                 0.9986,                  0.995,                 0.9266,                0.41542,                0.18072,                0.83869,              0.0006536,              0.0006536,              0.0006536
                     70,                0.51719,                0.24612,                0.92699,                0.99714,                 0.9986,                0.99492,                0.92813,                0.41142,                0.17852,                0.83541,              0.0006338,              0.0006338,              0.0006338
                     71,                0.51467,                0.24713,                0.92537,                0.99712,                 0.9986,                  0.995,                0.93081,                0.40764,                0.17793,                 0.8348,               0.000614,               0.000614,               0.000614
                     72,                0.51018,                0.24253,                 0.9256,                0.99714,                 0.9986,                0.99496,                 0.9306,                0.41058,                 0.1771,                0.83553,              0.0005942,              0.0005942,              0.0005942
                     73,                0.50696,                0.24037,                0.92304,                 0.9986,                0.99856,                0.99497,                0.93096,                0.40622,                0.17466,                0.83241,              0.0005744,              0.0005744,              0.0005744
                     74,                0.50855,                0.23916,                0.92355,                0.99709,                 0.9986,                0.99493,                 0.9267,                0.41383,                0.17512,                0.83578,              0.0005546,              0.0005546,              0.0005546
                     75,                0.50502,                0.24047,                0.92336,                0.99721,                0.99851,                0.99492,                 0.9269,                0.40837,                 0.1736,                0.83401,              0.0005348,              0.0005348,              0.0005348
                     76,                0.49923,                0.23499,                0.92099,                0.99721,                0.99844,                0.99479,                0.92763,                0.40771,                0.17383,                0.83435,               0.000515,               0.000515,               0.000515
                     77,                0.49207,                0.23281,                0.91505,                0.99716,                 0.9986,                0.99475,                 0.9319,                0.40241,                0.17619,                0.83184,              0.0004952,              0.0004952,              0.0004952
                     78,                0.49088,                0.23064,                0.91101,                 0.9986,                0.99852,                 0.9949,                0.92961,                0.40468,                 0.1734,                0.83287,              0.0004754,              0.0004754,              0.0004754
                     79,                0.49223,                0.23576,                0.91679,                 0.9986,                0.99857,                0.99497,                0.92795,                0.40257,                0.16947,                0.83137,              0.0004556,              0.0004556,              0.0004556
                     80,                0.49106,                 0.2327,                0.91311,                 0.9986,                0.99853,                0.99499,                0.93245,                0.39914,                0.17017,                0.83036,              0.0004358,              0.0004358,              0.0004358
                     81,                0.48892,                 0.2328,                0.91504,                 0.9986,                0.99856,                0.99497,                0.92927,                0.40128,                0.17058,                0.83186,               0.000416,               0.000416,               0.000416
                     82,                0.48432,                0.22697,                0.91214,                 0.9986,                0.99856,                0.99489,                0.93104,                0.40214,                0.16961,                0.83172,              0.0003962,              0.0003962,              0.0003962
                     83,                0.48374,                0.22668,                 0.9082,                0.99853,                 0.9986,                0.99492,                0.93015,                0.40222,                0.16863,                0.83197,              0.0003764,              0.0003764,              0.0003764
                     84,                0.48485,                0.22646,                0.91224,                0.99855,                 0.9986,                0.99493,                0.92986,                0.40072,                0.16989,                0.83123,              0.0003566,              0.0003566,              0.0003566
                     85,                0.47859,                0.22555,                0.90898,                0.99854,                 0.9986,                0.99499,                0.93433,                0.39642,                0.16511,                0.83075,              0.0003368,              0.0003368,              0.0003368
                     86,                0.47888,                0.22646,                0.91337,                 0.9986,                0.99857,                0.99496,                0.93241,                0.39828,                0.16631,                0.83168,               0.000317,               0.000317,               0.000317
                     87,                0.47796,                0.22722,                0.90884,                 0.9986,                0.99856,                0.99492,                0.93342,                0.39865,                0.16765,                0.83088,              0.0002972,              0.0002972,              0.0002972
                     88,                0.46914,                0.22252,                0.90686,                0.99857,                 0.9986,                0.99493,                0.92992,                 0.4015,                0.16875,                0.83245,              0.0002774,              0.0002774,              0.0002774
                     89,                0.47352,                0.22486,                0.90796,                 0.9986,                0.99854,                0.99497,                0.93414,                0.39865,                0.16665,                 0.8303,              0.0002576,              0.0002576,              0.0002576
                     90,                0.46376,                0.21804,                0.90349,                 0.9986,                0.99855,                0.99496,                0.93061,                0.40276,                0.16753,                0.83105,              0.0002378,              0.0002378,              0.0002378
