                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.70077,                0.33861,                 1.0019,                0.99925,                0.99721,                  0.995,                0.91543,                0.44783,                0.22181,                0.84809,               0.006436,               0.006436,               0.006436
                     38,                0.68875,                0.33584,                0.99543,                0.99567,                0.99721,                 0.9949,                0.91751,                 0.4443,                0.22495,                 0.8495,               0.006337,               0.006337,               0.006337
                     39,                0.69749,                0.33776,                0.99761,                0.99417,                0.99721,                0.99492,                  0.922,                0.44072,                0.22447,                 0.8502,               0.006238,               0.006238,               0.006238
                     40,                0.68777,                0.33305,                0.99557,                0.99582,                0.99857,                0.99487,                0.91058,                0.45459,                0.22189,                0.85303,               0.006139,               0.006139,               0.006139
                     41,                0.69011,                0.33528,                0.99579,                0.99608,                0.99721,                0.99492,                0.92312,                0.43645,                0.21644,                0.84831,                0.00604,                0.00604,                0.00604
                     42,                0.68093,                0.32685,                0.99164,                0.99647,                0.99721,                0.99497,                0.91895,                0.44691,                  0.218,                0.84836,               0.005941,               0.005941,               0.005941
                     43,                0.68012,                0.32996,                0.98782,                0.99581,                0.99689,                 0.9949,                0.92275,                0.43658,                0.22136,                0.84985,               0.005842,               0.005842,               0.005842
                     44,                0.67456,                0.32815,                 0.9911,                0.99839,                0.99721,                0.99492,                0.92347,                0.42871,                0.21418,                0.84397,               0.005743,               0.005743,               0.005743
                     45,                0.66799,                0.32382,                 0.9838,                0.99716,                 0.9986,                  0.995,                0.92519,                 0.4247,                0.20836,                0.84245,               0.005644,               0.005644,               0.005644
                     46,                0.66973,                0.32149,                0.98621,                0.99636,                0.99721,                0.99494,                0.91563,                0.42747,                0.20691,                0.84387,               0.005545,               0.005545,               0.005545
                     47,                0.66473,                0.31922,                0.98302,                0.99682,                0.99721,                0.99496,                0.92368,                0.42319,                0.20382,                0.84457,               0.005446,               0.005446,               0.005446
                     48,                0.65292,                0.31437,                   0.98,                0.99825,                0.99721,                0.99497,                0.92356,                0.43138,                0.20463,                0.84495,               0.005347,               0.005347,               0.005347
                     49,                0.65511,                0.31699,                0.97903,                0.99715,                 0.9986,                 0.9947,                 0.9217,                0.42327,                 0.2018,                0.84113,               0.005248,               0.005248,               0.005248
                     50,                0.65347,                0.31452,                0.97876,                0.99581,                0.99721,                0.99486,                0.92158,                0.42846,                0.20205,                0.84343,               0.005149,               0.005149,               0.005149
                     51,                0.64658,                0.30976,                0.97532,                0.99738,                0.99721,                0.99497,                0.92351,                0.41705,                0.20243,                0.83822,                0.00505,                0.00505,                0.00505
                     52,                0.64197,                0.30926,                0.97181,                0.99583,                0.99984,                  0.995,                0.92737,                0.41868,                0.19635,                0.83892,               0.004951,               0.004951,               0.004951
                     53,                0.64215,                 0.3071,                0.97327,                0.99698,                0.99721,                0.99497,                0.92651,                0.42016,                0.19993,                0.84163,               0.004852,               0.004852,               0.004852
                     54,                0.64191,                0.30945,                0.97698,                0.99721,                0.99847,                  0.995,                 0.9287,                0.41661,                0.19361,                0.83905,               0.004753,               0.004753,               0.004753
                     55,                0.63884,                 0.3028,                0.96969,                0.99833,                0.99721,                0.99496,                0.92486,                0.41689,                0.19097,                0.83912,               0.004654,               0.004654,               0.004654
                     56,                0.63468,                0.30066,                0.97152,                 0.9986,                0.99833,                  0.995,                0.92987,                0.41071,                0.19071,                0.83719,               0.004555,               0.004555,               0.004555
                     57,                0.63107,                 0.2985,                0.96899,                 0.9986,                0.99838,                0.99489,                0.92609,                0.41363,                0.18764,                0.83788,               0.004456,               0.004456,               0.004456
                     58,                0.62558,                0.29885,                 0.9655,                0.99574,                 0.9986,                0.99479,                0.92632,                0.41489,                0.18853,                0.83767,               0.004357,               0.004357,               0.004357
                     59,                0.63204,                0.30164,                0.96769,                 0.9986,                0.99857,                0.99494,                0.92842,                0.41676,                0.19023,                0.83817,               0.004258,               0.004258,               0.004258
                     60,                 0.6212,                 0.2972,                0.96278,                0.99854,                 0.9986,                0.99494,                0.92653,                 0.4108,                0.18736,                0.83773,               0.004159,               0.004159,               0.004159
                     61,                0.61275,                0.29197,                0.96071,                0.99721,                0.99837,                0.99494,                0.92698,                0.41163,                0.18731,                0.83682,                0.00406,                0.00406,                0.00406
                     62,                0.61853,                0.29413,                0.96273,                0.99721,                 0.9985,                0.99487,                 0.9302,                0.40433,                0.18377,                0.83306,               0.003961,               0.003961,               0.003961
                     63,                0.61085,                 0.2891,                0.95784,                 0.9986,                 0.9981,                0.99483,                  0.926,                0.41226,                 0.1863,                 0.8351,               0.003862,               0.003862,               0.003862
                     64,                0.60546,                  0.291,                0.95568,                0.99861,                 0.9999,                0.99492,                0.92797,                 0.4106,                0.18559,                0.83563,               0.003763,               0.003763,               0.003763
                     65,                0.61034,                0.29253,                0.95918,                0.99721,                0.99991,                  0.995,                0.92563,                0.41305,                0.18354,                0.83573,               0.003664,               0.003664,               0.003664
                     66,                0.60664,                 0.2906,                0.95802,                0.99721,                0.99984,                  0.995,                0.92828,                0.40722,                 0.1846,                0.83597,               0.003565,               0.003565,               0.003565
                     67,                0.59472,                0.28702,                0.95169,                0.99857,                 0.9986,                0.99497,                0.92707,                0.40707,                0.18587,                0.83542,               0.003466,               0.003466,               0.003466
                     68,                 0.5968,                0.28683,                0.95629,                0.99721,                0.99985,                0.99496,                0.92637,                0.40703,                0.18706,                0.83473,               0.003367,               0.003367,               0.003367
                     69,                 0.5971,                0.28235,                0.95818,                0.99858,                 0.9986,                0.99492,                 0.9285,                0.40405,                 0.1817,                0.83312,               0.003268,               0.003268,               0.003268
                     70,                0.59058,                 0.2807,                0.95001,                0.99851,                 0.9986,                  0.995,                0.92817,                0.40614,                0.18071,                0.83414,               0.003169,               0.003169,               0.003169
                     71,                0.58519,                0.27567,                0.94599,                 0.9985,                 0.9986,                  0.995,                0.92625,                0.40772,                0.17814,                0.83452,                0.00307,                0.00307,                0.00307
                     72,                0.58391,                0.27509,                0.94644,                0.99852,                 0.9986,                0.99499,                0.92916,                0.40642,                0.17797,                0.83427,               0.002971,               0.002971,               0.002971
                     73,                0.58507,                0.27519,                0.94787,                0.99851,                 0.9986,                0.99497,                0.92812,                0.40464,                0.17828,                0.83427,               0.002872,               0.002872,               0.002872
                     74,                0.57877,                0.27337,                0.94902,                0.99847,                 0.9986,                0.99492,                0.93064,                0.40449,                0.17694,                0.83344,               0.002773,               0.002773,               0.002773
                     75,                0.57427,                0.27151,                0.94322,                 0.9985,                 0.9986,                 0.9949,                0.93015,                0.40558,                0.17787,                0.83357,               0.002674,               0.002674,               0.002674
                     76,                0.57172,                0.27093,                0.94652,                0.99851,                 0.9986,                 0.9949,                  0.933,                0.40129,                0.17591,                0.83309,               0.002575,               0.002575,               0.002575
                     77,                0.57171,                0.27053,                0.94852,                 0.9985,                 0.9986,                0.99496,                0.93277,                0.40122,                0.17612,                0.83263,               0.002476,               0.002476,               0.002476
                     78,                0.56563,                0.26542,                0.93782,                0.99851,                 0.9986,                0.99497,                 0.9296,                0.40416,                0.17588,                0.83247,               0.002377,               0.002377,               0.002377
                     79,                0.56287,                0.26475,                0.93839,                0.99849,                 0.9986,                0.99499,                0.93052,                0.40473,                0.17501,                0.83223,               0.002278,               0.002278,               0.002278
                     80,                0.56029,                0.26347,                0.93767,                0.99847,                 0.9986,                0.99499,                0.92918,                0.40507,                0.17316,                0.83269,               0.002179,               0.002179,               0.002179
                     81,                0.55992,                0.26422,                0.93477,                0.99845,                 0.9986,                  0.995,                0.92994,                0.40349,                0.17385,                0.83242,                0.00208,                0.00208,                0.00208
                     82,                0.54869,                0.25517,                0.93419,                0.99845,                 0.9986,                0.99499,                0.93049,                0.40057,                0.17198,                0.83188,               0.001981,               0.001981,               0.001981
                     83,                0.54916,                0.25691,                0.93426,                 0.9985,                 0.9986,                0.99499,                0.93221,                0.39817,                 0.1707,                0.83143,               0.001882,               0.001882,               0.001882
                     84,                0.54357,                0.25485,                0.93012,                0.99851,                 0.9986,                0.99499,                0.93086,                0.39541,                0.17032,                 0.8312,               0.001783,               0.001783,               0.001783
                     85,                0.54344,                0.25576,                0.93359,                0.99852,                 0.9986,                0.99497,                0.93191,                0.39537,                0.16974,                0.83121,               0.001684,               0.001684,               0.001684
                     86,                0.54093,                0.25154,                0.93242,                0.99852,                 0.9986,                0.99497,                 0.9318,                0.39604,                0.16951,                0.83105,               0.001585,               0.001585,               0.001585
                     87,                0.53715,                0.25253,                0.92603,                0.99852,                 0.9986,                0.99499,                0.93029,                0.39586,                0.16838,                0.83056,               0.001486,               0.001486,               0.001486
                     88,                0.53187,                0.24871,                0.92671,                0.99852,                 0.9986,                  0.995,                0.93259,                0.39504,                0.16689,                0.82982,               0.001387,               0.001387,               0.001387
                     89,                0.52939,                0.24643,                0.92598,                0.99852,                 0.9986,                  0.995,                0.93379,                 0.3959,                0.16723,                0.83007,               0.001288,               0.001288,               0.001288
                     90,                0.52935,                0.24763,                0.92684,                0.99861,                 0.9999,                  0.995,                0.93376,                  0.396,                0.16751,                0.82985,               0.001189,               0.001189,               0.001189
