                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6341,                0.73799,                 2.0985,                 0.9724,                0.98231,                0.99325,                0.89036,                 1.0453,                0.47783,                 1.7882,               0.008317,               0.008317,               0.008317
                     36,                 1.6149,                0.73016,                 2.1027,                0.98205,                0.96809,                0.99306,                0.88681,                 1.0135,                 0.4679,                  1.766,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.612,                0.72342,                 2.0885,                0.97996,                0.97486,                0.99259,                0.89288,                0.99969,                0.46474,                 1.7581,               0.008218,               0.008218,               0.008218
                     38,                 1.6042,                0.72339,                 2.0803,                0.98868,                0.97612,                 0.9929,                0.88812,                   1.03,                0.46596,                 1.7649,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.6107,                0.71885,                 2.0754,                0.97938,                0.97273,                0.99354,                0.89789,                 0.9741,                0.43058,                 1.7444,               0.008119,               0.008119,               0.008119
                     40,                 1.5908,                0.70137,                 2.0749,                0.98141,                0.98296,                0.99405,                0.90171,                0.96935,                0.43369,                 1.7604,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.6083,                0.69936,                 2.0786,                0.99065,                 0.9863,                0.99464,                0.90108,                 0.9961,                0.43139,                 1.7494,                0.00802,                0.00802,                0.00802
                     42,                 1.5816,                0.70357,                 2.0708,                 0.9794,                0.97378,                0.99333,                 0.8979,                 1.0075,                 0.4635,                 1.7696,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.6005,                0.70489,                 2.0676,                0.98503,                0.98023,                0.99272,                0.89764,                0.98996,                0.46837,                 1.7637,               0.007921,               0.007921,               0.007921
                     44,                 1.5452,                0.68843,                 2.0605,                 0.9676,                 0.9851,                0.99307,                0.88607,                  1.022,                0.45796,                 1.7564,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5497,                0.70137,                 2.0642,                0.98207,                0.96912,                0.99255,                0.88031,                 1.0796,                0.48282,                 1.7888,               0.007822,               0.007822,               0.007822
                     46,                 1.5721,                0.69018,                 2.0741,                0.98066,                 0.9879,                0.99333,                 0.8828,                  1.087,                0.43809,                 1.7868,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5509,                0.71995,                 2.0654,                0.98155,                0.98045,                0.99341,                0.89717,                0.99216,                0.43421,                 1.7625,               0.007723,               0.007723,               0.007723
                     48,                 1.5241,                0.66971,                 2.0407,                0.97478,                0.97672,                 0.9934,                0.90413,                 0.9509,                0.43763,                 1.7316,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5546,                0.67603,                 2.0526,                0.97826,                0.97765,                0.99289,                0.89379,                0.96479,                0.44411,                 1.7452,               0.007624,               0.007624,               0.007624
                     50,                 1.5252,                0.66013,                 2.0389,                0.98244,                0.98953,                0.99393,                0.90621,                0.96649,                0.41175,                 1.7526,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.5073,                0.65772,                 2.0311,                0.97147,                0.98976,                0.99341,                0.90119,                 0.9588,                0.42395,                 1.7402,               0.007525,               0.007525,               0.007525
                     52,                 1.4742,                0.68918,                 2.0003,                 0.9832,                 0.9807,                0.99369,                0.90463,                0.93494,                0.41767,                  1.729,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5176,                 0.6736,                 2.0413,                0.97235,                0.98233,                0.99379,                0.89153,                 1.0187,                 0.4458,                 1.7722,               0.007426,               0.007426,               0.007426
                     54,                 1.4924,                0.67362,                 2.0318,                0.97936,                0.97173,                0.99368,                0.90279,                0.94474,                0.42959,                 1.7355,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4938,                0.64702,                 2.0334,                0.98338,                0.97393,                0.99372,                0.90641,                0.92385,                0.40584,                 1.7293,               0.007327,               0.007327,               0.007327
                     56,                  1.486,                0.66331,                 2.0249,                0.98417,                0.96555,                0.99308,                0.89849,                0.95717,                0.42248,                 1.7341,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4906,                0.65321,                 2.0165,                0.97152,                0.98469,                0.99373,                0.90155,                0.94342,                0.41608,                 1.7389,               0.007228,               0.007228,               0.007228
                     58,                 1.4908,                0.65032,                 2.0309,                0.98381,                0.97952,                0.99422,                0.90834,                0.91664,                0.39717,                 1.7201,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4821,                0.64853,                 2.0158,                0.98681,                0.97552,                0.99403,                0.91117,                0.90646,                0.40366,                 1.7137,               0.007129,               0.007129,               0.007129
                     60,                 1.4834,                0.63981,                 2.0288,                0.98493,                 0.9851,                0.99453,                0.90666,                0.93054,                0.39199,                 1.7346,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4664,                0.62904,                 2.0127,                0.98455,                0.98045,                0.99398,                 0.9077,                0.92098,                0.40621,                 1.7281,                0.00703,                0.00703,                0.00703
                     62,                 1.4733,                0.64491,                 2.0121,                0.98963,                0.97699,                0.99438,                0.90426,                0.93625,                 0.4099,                 1.7237,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4536,                0.63288,                 2.0094,                0.97613,                0.98984,                0.99427,                0.90604,                 0.9144,                0.38625,                 1.7215,               0.006931,               0.006931,               0.006931
                     64,                  1.503,                0.64342,                 2.0382,                0.98411,                0.98041,                0.99415,                0.90855,                0.93113,                0.40425,                  1.737,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.449,                0.62942,                  2.005,                0.98376,                0.98976,                0.99416,                0.90933,                0.91205,                0.37847,                  1.728,               0.006832,               0.006832,               0.006832
                     66,                 1.4455,                 0.6808,                 2.0093,                0.98135,                0.97982,                0.99404,                0.91014,                0.92848,                0.39118,                 1.7169,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4555,                0.62519,                 2.0151,                0.98965,                0.97923,                 0.9944,                0.91034,                0.90465,                0.38559,                 1.7172,               0.006733,               0.006733,               0.006733
                     68,                 1.4536,                0.61964,                 2.0003,                0.97997,                0.98976,                0.99428,                 0.9101,                0.91002,                 0.3874,                 1.7174,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.456,                0.61641,                 2.0073,                 0.9855,                0.99162,                0.99405,                0.90854,                0.94479,                0.39792,                 1.7273,               0.006634,               0.006634,               0.006634
                     70,                 1.4258,                 0.6141,                  1.991,                0.98682,                 0.9879,                0.99439,                0.90378,                0.92296,                0.39743,                 1.7189,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4453,                 0.6292,                 1.9991,                0.97603,                0.98585,                0.99405,                 0.9161,                0.90131,                0.38714,                  1.717,               0.006535,               0.006535,               0.006535
                     72,                 1.4389,                0.62731,                  2.005,                0.97231,                0.98071,                0.99325,                0.91031,                0.91115,                0.41608,                 1.7258,              0.0064855,              0.0064855,              0.0064855
                     73,                  1.443,                0.61945,                 2.0005,                 0.9773,                0.98138,                0.99378,                0.90923,                0.89277,                 0.3906,                 1.7072,               0.006436,               0.006436,               0.006436
                     74,                 1.4198,                 0.6325,                 1.9888,                0.98469,                0.98603,                0.99368,                0.91512,                0.89044,                0.38091,                 1.7058,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4425,                0.62078,                 2.0299,                0.98972,                0.98568,                 0.9946,                0.91573,                0.87378,                0.37486,                 1.7072,               0.006337,               0.006337,               0.006337
                     76,                 1.3981,                0.59849,                 1.9826,                0.98718,                0.98324,                0.99438,                0.91525,                0.88635,                0.38215,                 1.6998,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.4127,                0.60201,                 1.9798,                0.98501,                 0.9879,                0.99446,                  0.916,                0.88477,                0.36368,                 1.7036,               0.006238,               0.006238,               0.006238
                     78,                  1.424,                0.59205,                 2.0084,                 0.9906,                0.98142,                0.99452,                0.91903,                0.87496,                0.37264,                 1.7127,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.4057,                0.59812,                 1.9891,                0.98688,                0.98417,                0.99449,                 0.9123,                0.89406,                0.36434,                 1.7157,               0.006139,               0.006139,               0.006139
                     80,                 1.3863,                0.60046,                 1.9796,                 0.9852,                0.98324,                0.99387,                0.91132,                0.89984,                0.38123,                 1.7026,              0.0060895,              0.0060895,              0.0060895
                     81,                  1.377,                0.59087,                 1.9846,                0.99386,                0.98231,                0.99469,                0.91372,                0.88128,                0.37184,                 1.7015,                0.00604,                0.00604,                0.00604
                     82,                  1.414,                0.60969,                 1.9852,                0.98241,                0.98826,                 0.9939,                0.91812,                0.86654,                0.36969,                  1.693,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.3951,                0.60316,                 1.9774,                0.98965,                0.97912,                0.99448,                0.91277,                0.88085,                0.35935,                 1.7051,               0.005941,               0.005941,               0.005941
